benchmark,monitor,repetition,time,status
f13_r_MIN_x_P_x__e3750000,monpoly,0,0.99326,ok
f13_r_MIN_x_P_x__e3750000,monpoly,1,0.97436,ok
f14_r_MED_x_P_x__e234300,staticmon,0,0.24125,ok
f14_r_MED_x_P_x__e234300,staticmon,1,0.07791,ok
f14_r_MED_x_P_x__e234300,monpoly,0,0.07803,ok
f14_r_MED_x_P_x__e234300,monpoly,1,0.07589,ok
f14_r_MED_x_P_x__e468750,staticmon,0,0.0717,ok
f14_r_MED_x_P_x__e468750,staticmon,1,0.07678,ok
f14_r_MED_x_P_x__e468750,monpoly,0,0.18639,ok
f14_r_MED_x_P_x__e468750,monpoly,1,0.17685,ok
f14_r_MED_x_P_x__e937500,staticmon,0,0.13059,ok
f14_r_MED_x_P_x__e937500,staticmon,1,0.12939,ok
f14_r_MED_x_P_x__e937500,monpoly,0,0.29584,ok
f14_r_MED_x_P_x__e937500,monpoly,1,0.28936,ok
f14_r_MED_x_P_x__e1875000,staticmon,0,0.23551,ok
f14_r_MED_x_P_x__e1875000,staticmon,1,0.24004,ok
f14_r_MED_x_P_x__e1875000,monpoly,0,0.56458,ok
f14_r_MED_x_P_x__e1875000,monpoly,1,0.56262,ok
f14_r_MED_x_P_x__e3750000,staticmon,0,0.51349,ok
f14_r_MED_x_P_x__e3750000,staticmon,1,0.50904,ok
f14_r_MED_x_P_x__e3750000,monpoly,0,1.03996,ok
f14_r_MED_x_P_x__e3750000,monpoly,1,1.04868,ok
f15_r_AVG_x_P_x__e234300,staticmon,0,0.24131,ok
f15_r_AVG_x_P_x__e234300,staticmon,1,0.04156,ok
f15_r_AVG_x_P_x__e234300,monpoly,0,0.07522,ok
f15_r_AVG_x_P_x__e234300,monpoly,1,0.07512,ok
f15_r_AVG_x_P_x__e468750,staticmon,0,0.07467,ok
f15_r_AVG_x_P_x__e468750,staticmon,1,0.07564,ok
f15_r_AVG_x_P_x__e468750,monpoly,0,0.1299,ok
f15_r_AVG_x_P_x__e468750,monpoly,1,0.12829,ok
f15_r_AVG_x_P_x__e937500,staticmon,0,0.12818,ok
f15_r_AVG_x_P_x__e937500,staticmon,1,0.13195,ok
f15_r_AVG_x_P_x__e937500,monpoly,0,0.29248,ok
f15_r_AVG_x_P_x__e937500,monpoly,1,0.29244,ok
f15_r_AVG_x_P_x__e1875000,staticmon,0,0.23438,ok
f15_r_AVG_x_P_x__e1875000,staticmon,1,0.23741,ok
f15_r_AVG_x_P_x__e1875000,monpoly,0,0.50325,ok
f15_r_AVG_x_P_x__e1875000,monpoly,1,0.50741,ok
f15_r_AVG_x_P_x__e3750000,staticmon,0,0.45029,ok
f15_r_AVG_x_P_x__e3750000,staticmon,1,0.50005,ok
f15_r_AVG_x_P_x__e3750000,monpoly,0,0.99992,ok
f15_r_AVG_x_P_x__e3750000,monpoly,1,0.9867,ok
f16_r_SUM_x_P_x__e234300,staticmon,0,0.23724,ok
f16_r_SUM_x_P_x__e234300,staticmon,1,0.07705,ok
